date,campaign_id,ad_id,currency,impressions,clicks,cost,conversions,conversion_value
2026-08-01,C01,C01_A01,USD,2000,100,100,5,250
2026-08-01,C01,C01_A02,USD,2000,100,100,5,250
2026-08-01,C02,C02_A01,USD,2000,100,100,5,250
2026-08-01,C02,C02_A02,USD,2000,100,100,5,250
2026-08-01,C03,C03_A01,USD,2000,100,100,5,250
2026-08-01,C03,C03_A02,USD,2000,100,100,5,250
2026-08-02,C01,C01_A01,USD,2000,100,100,5,250
2026-08-02,C01,C01_A02,USD,2000,100,100,5,250
2026-08-02,C02,C02_A01,USD,2000,100,100,5,250
2026-08-02,C02,C02_A02,USD,2000,100,100,5,250
2026-08-02,C03,C03_A01,USD,2000,100,100,5,250
2026-08-02,C03,C03_A02,USD,2000,100,100,5,250
2026-08-03,C01,C01_A01,USD,2000,100,100,5,250
2026-08-03,C01,C01_A02,USD,2000,100,100,5,250
2026-08-03,C02,C02_A01,USD,2000,100,100,5,250
2026-08-03,C02,C02_A02,USD,2000,100,100,5,250
2026-08-03,C03,C03_A01,USD,2000,100,100,5,250
2026-08-03,C03,C03_A02,USD,2000,100,100,5,250
2026-08-04,C01,C01_A01,USD,2000,100,100,5,250
2026-08-04,C01,C01_A02,USD,2000,100,100,5,250
2026-08-04,C02,C02_A01,USD,2000,100,100,5,250
2026-08-04,C02,C02_A02,USD,2000,100,100,5,250
2026-08-04,C03,C03_A01,USD,2000,100,100,5,250
2026-08-04,C03,C03_A02,USD,2000,100,100,5,250
2026-08-05,C01,C01_A01,USD,2000,100,100,5,250
2026-08-05,C01,C01_A02,USD,2000,100,100,5,250
2026-08-05,C02,C02_A01,USD,2000,100,100,5,250
2026-08-05,C02,C02_A02,USD,2000,100,100,5,250
2026-08-05,C03,C03_A01,USD,2000,100,100,5,250
2026-08-05,C03,C03_A02,USD,2000,100,100,5,250
2026-08-06,C01,C01_A01,USD,2000,100,100,5,250
2026-08-06,C01,C01_A02,USD,2000,100,100,5,250
2026-08-06,C02,C02_A01,USD,2000,100,100,5,250
2026-08-06,C02,C02_A02,USD,2000,100,100,5,250
2026-08-06,C03,C03_A01,USD,2000,100,100,5,250
2026-08-06,C03,C03_A02,USD,2000,100,100,5,250
2026-08-07,C01,C01_A01,USD,2000,100,100,5,250
2026-08-07,C01,C01_A02,USD,2000,100,100,5,250
2026-08-07,C02,C02_A01,USD,2000,100,100,5,250
2026-08-07,C02,C02_A02,USD,2000,100,100,5,250
2026-08-07,C03,C03_A01,USD,2000,100,100,5,250
2026-08-07,C03,C03_A02,USD,2000,100,100,5,250
2026-08-08,C01,C01_A01,USD,2000,100,100,5,250
2026-08-08,C01,C01_A02,USD,2000,100,100,5,250
2026-08-08,C02,C02_A01,USD,2000,100,100,5,250
2026-08-08,C02,C02_A02,USD,2000,100,100,5,250
2026-08-08,C03,C03_A01,USD,2000,100,100,5,250
2026-08-08,C03,C03_A02,USD,2000,100,100,5,250
2026-08-09,C01,C01_A01,USD,2000,100,100,5,250
2026-08-09,C01,C01_A02,USD,2000,100,100,5,250
2026-08-09,C02,C02_A01,USD,2000,100,100,5,250
2026-08-09,C02,C02_A02,USD,2000,100,100,5,250
2026-08-09,C03,C03_A01,USD,2000,100,100,5,250
2026-08-09,C03,C03_A02,USD,2000,100,100,5,250
2026-08-10,C01,C01_A01,USD,2000,100,100,5,250
2026-08-10,C01,C01_A02,USD,2000,100,100,5,250
2026-08-10,C02,C02_A01,USD,2000,100,100,5,250
2026-08-10,C02,C02_A02,USD,2000,100,100,5,250
2026-08-10,C03,C03_A01,USD,2000,100,100,5,250
2026-08-10,C03,C03_A02,USD,2000,100,100,5,250
2026-08-11,C01,C01_A01,USD,2000,100,100,5,250
2026-08-11,C01,C01_A02,USD,2000,100,100,5,250
2026-08-11,C02,C02_A01,USD,2000,100,100,5,250
2026-08-11,C02,C02_A02,USD,2000,100,100,5,250
2026-08-11,C03,C03_A01,USD,2000,100,100,5,250
2026-08-11,C03,C03_A02,USD,2000,100,100,5,250
2026-08-12,C01,C01_A01,USD,2000,100,100,5,250
2026-08-12,C01,C01_A02,USD,2000,100,100,5,250
2026-08-12,C02,C02_A01,USD,2000,100,100,5,250
2026-08-12,C02,C02_A02,USD,2000,100,100,5,250
2026-08-12,C03,C03_A01,USD,2000,100,100,5,250
2026-08-12,C03,C03_A02,USD,2000,100,100,5,250
2026-08-13,C01,C01_A01,USD,2000,100,100,5,250
2026-08-13,C01,C01_A02,USD,2000,100,100,5,250
2026-08-13,C02,C02_A01,USD,2000,100,100,5,250
2026-08-13,C02,C02_A02,USD,2000,100,100,5,250
2026-08-13,C03,C03_A01,USD,2000,100,100,5,250
2026-08-13,C03,C03_A02,USD,2000,100,100,5,250
2026-08-14,C01,C01_A01,USD,2000,100,100,5,250
2026-08-14,C01,C01_A02,USD,2000,100,100,5,250
2026-08-14,C02,C02_A01,USD,2000,100,100,5,250
2026-08-14,C02,C02_A02,USD,2000,100,100,5,250
2026-08-14,C03,C03_A01,USD,2000,100,100,5,250
2026-08-14,C03,C03_A02,USD,2000,100,100,5,250
2026-08-15,C01,C01_A01,USD,2000,100,100,5,250
2026-08-15,C01,C01_A02,USD,2000,100,100,5,250
2026-08-15,C02,C02_A01,USD,2000,100,100,5,250
2026-08-15,C02,C02_A02,USD,2000,100,100,5,250
2026-08-15,C03,C03_A01,USD,2000,100,100,5,250
2026-08-15,C03,C03_A02,USD,2000,100,100,5,250
2026-08-16,C01,C01_A01,USD,2000,100,100,5,250
2026-08-16,C01,C01_A02,USD,2000,100,100,5,250
2026-08-16,C02,C02_A01,USD,2000,100,100,5,250
2026-08-16,C02,C02_A02,USD,2000,100,100,5,250
2026-08-16,C03,C03_A01,USD,2000,100,100,5,250
2026-08-16,C03,C03_A02,USD,2000,100,100,5,250
2026-08-17,C01,C01_A01,USD,2000,100,100,5,250
2026-08-17,C01,C01_A02,USD,2000,100,100,5,250
2026-08-17,C02,C02_A01,USD,2000,100,100,5,250
2026-08-17,C02,C02_A02,USD,2000,100,100,5,250
2026-08-17,C03,C03_A01,USD,2000,100,100,5,250
2026-08-17,C03,C03_A02,USD,2000,100,100,5,250
2026-08-18,C01,C01_A01,USD,2000,100,100,5,250
2026-08-18,C01,C01_A02,USD,2000,100,100,5,250
2026-08-18,C02,C02_A01,USD,2000,100,100,5,250
2026-08-18,C02,C02_A02,USD,2000,100,100,5,250
2026-08-18,C03,C03_A01,USD,2000,100,100,5,250
2026-08-18,C03,C03_A02,USD,2000,100,100,5,250
2026-08-19,C01,C01_A01,USD,2000,100,100,5,250
2026-08-19,C01,C01_A02,USD,2000,100,100,5,250
2026-08-19,C02,C02_A01,USD,2000,100,100,5,250
2026-08-19,C02,C02_A02,USD,2000,100,100,5,250
2026-08-19,C03,C03_A01,USD,2000,100,100,5,250
2026-08-19,C03,C03_A02,USD,2000,100,100,5,250
2026-08-20,C01,C01_A01,USD,2000,100,100,5,250
2026-08-20,C01,C01_A02,USD,2000,100,100,5,250
2026-08-20,C02,C02_A01,USD,2000,100,100,5,250
2026-08-20,C02,C02_A02,USD,2000,100,100,5,250
2026-08-20,C03,C03_A01,USD,2000,100,100,5,250
2026-08-20,C03,C03_A02,USD,2000,100,100,5,250
2026-08-21,C01,C01_A01,USD,2000,100,100,5,250
2026-08-21,C01,C01_A02,USD,2000,100,100,5,250
2026-08-21,C02,C02_A01,USD,2000,100,100,5,250
2026-08-21,C02,C02_A02,USD,2000,100,100,5,250
2026-08-21,C03,C03_A01,USD,2000,100,100,5,250
2026-08-21,C03,C03_A02,USD,2000,100,100,5,250
2026-08-22,C01,C01_A01,USD,2000,100,100,5,250
2026-08-22,C01,C01_A02,USD,2000,100,100,5,250
2026-08-22,C02,C02_A01,USD,2000,40,40,2,100
2026-08-22,C02,C02_A02,USD,2000,100,100,5,250
2026-08-22,C03,C03_A01,USD,2000,100,150,5,250
2026-08-22,C03,C03_A02,USD,2000,100,100,0,0
2026-08-23,C01,C01_A01,USD,2000,100,100,5,250
2026-08-23,C01,C01_A02,USD,2000,100,100,5,250
2026-08-23,C02,C02_A01,USD,2000,40,40,2,100
2026-08-23,C02,C02_A02,USD,2000,100,100,5,250
2026-08-23,C03,C03_A01,USD,2000,100,150,5,250
2026-08-23,C03,C03_A02,USD,2000,100,100,0,0
2026-08-24,C01,C01_A01,USD,2000,100,100,5,250
2026-08-24,C01,C01_A02,USD,2000,100,100,5,250
2026-08-24,C02,C02_A01,USD,2000,40,40,2,100
2026-08-24,C02,C02_A02,USD,2000,100,100,5,250
2026-08-24,C03,C03_A01,USD,2000,100,150,5,250
2026-08-24,C03,C03_A02,USD,2000,100,100,0,0
2026-08-25,C01,C01_A01,USD,2000,100,100,5,250
2026-08-25,C01,C01_A02,USD,2000,100,100,5,250
2026-08-25,C02,C02_A01,USD,2000,40,40,2,100
2026-08-25,C02,C02_A02,USD,2000,100,100,5,250
2026-08-25,C03,C03_A01,USD,2000,100,150,5,250
2026-08-25,C03,C03_A02,USD,2000,100,100,0,0
2026-08-26,C01,C01_A01,USD,2000,100,100,5,250
2026-08-26,C01,C01_A02,USD,2000,100,100,5,250
2026-08-26,C02,C02_A01,USD,2000,40,40,2,100
2026-08-26,C02,C02_A02,USD,2000,100,100,5,250
2026-08-26,C03,C03_A01,USD,2000,100,150,5,250
2026-08-26,C03,C03_A02,USD,2000,100,100,0,0
2026-08-27,C01,C01_A01,USD,2000,100,100,5,250
2026-08-27,C01,C01_A02,USD,2000,100,100,5,250
2026-08-27,C02,C02_A01,USD,2000,40,40,2,100
2026-08-27,C02,C02_A02,USD,2000,100,100,5,250
2026-08-27,C03,C03_A01,USD,2000,100,150,5,250
2026-08-27,C03,C03_A02,USD,2000,100,100,0,0
2026-08-28,C01,C01_A01,USD,2000,100,100,5,250
2026-08-28,C01,C01_A02,USD,2000,100,100,5,250
2026-08-28,C02,C02_A01,USD,2000,40,40,2,100
2026-08-28,C02,C02_A02,USD,2000,100,100,5,250
2026-08-28,C03,C03_A01,USD,2000,100,150,5,250
2026-08-28,C03,C03_A02,USD,2000,100,100,0,0
